,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
4271,4272,LTM,LATAM Airlines Group S.A.,Services,Regional Airlines,USA,5620000000000.0,203.7,13.82,3.23,0.58,1.74,3.56,10.17,0.95,163.4,0.05,17.1,70.78,20.3,62.98,-5.2,-165.2,-7.0,600210000.0,291390000.0,94.3,0.0,8.1,-19.06,1.92,17.49,0.1,0.8,6.4,0.6,0.5,1.91,2.33,18.0,6.3,0.3,1.41,8.83,-11.44,-6.02,-5.83,-9.03,1.33,0.24,2.2,2.46,2.29,0.91,-7.94,-14.04,16.4,-23.82,16.4,55.71,1.85,-0.33,2.9,320120.0,0.33,9.37,1.52,114961.0,May 16/a,11.97,5/11/2017
4272,4273,LTPZ,PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,1.4,4.49,11.8,2.58,11.51,,0.67,0.63,0.87,0.52,2.98,8.06,-1.46,7.11,-1.46,15.45,58.06,-0.61,0.32,,22740.0,0.56,69.57,-0.3,12695.0,-,,9/8/2009
4273,4274,LTRPA,"Liberty TripAdvisor Holdings, Inc.",Consumer Goods,"Recreational Goods, Other",USA,925540000.0,,8.86,,0.57,2.9,,2.68,,,-0.54,86.2,44.33,-55.5,,9.3,92.3,-0.5,74640000.0,72140000.0,0.22,0.0,99.03,1.23,2.02,3.61,-0.7,-10.5,8.6,1.5,1.5,1.09,1.8,,8.4,-2.2,-1.35,13.97,-12.61,-21.96,-23.93,-21.96,1.62,0.45,4.55,3.58,4.66,-2.56,-17.08,-21.77,17.31,-39.89,17.31,51.65,0.81,-0.16,3.0,404120.0,2.12,12.4,0.65,847123.0,Aug 06/b,12.5,8/27/2014
4274,4275,LTRX,"Lantronix, Inc.",Technology,Communication Equipment,USA,76390000.0,41.11,19.03,2.06,1.57,1.98,4.2,,,0.0,0.08,344.4,14.38,17.1,20.0,-0.5,104.4,6.0,22940000.0,13920000.0,12.6,-3.68,27.7,-1.76,1.08,1.91,4.1,5.5,3.2,3.5,2.6,0.0,0.0,56.1,3.5,3.7,1.52,-9.26,10.26,20.22,17.25,13.27,0.76,0.14,3.93,3.93,-0.08,-3.95,0.17,-21.46,6.05,-48.53,42.31,47.81,-1.48,-0.59,,78730.0,0.48,3.33,-2.06,38179.0,Jul 25/a,5.25,8/4/2000
4275,4276,LTS,Ladenburg Thalmann Financial Services Inc.,Financial,Investment Brokerage - National,USA,550210000.0,,26.38,,0.39,1.94,3.28,16.04,1.46,,-0.02,98.3,160.0,49.0,15.0,11.9,-131.7,1.9,160410000.0,98660000.0,7.3,2.12,22.1,3.65,1.33,4.06,-0.3,-0.7,8.8,,,1.03,1.05,27.3,4.2,-0.2,-6.03,3.94,21.2,56.62,0.29,47.21,1.54,0.17,7.38,4.61,-0.85,-2.93,14.87,-14.68,11.0,-14.68,59.53,47.14,-7.55,0.27,,323090.0,10.86,3.43,-7.3,3012726.0,Aug 08,5.25,8/25/1999
4276,4277,LTSF,Ladenburg Thalmann Financial Services Inc. 7.00% SN NT 28,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,0.58,1.99,17.19,-1.3,8.47,,0.16,0.31,0.5,-0.13,0.29,1.92,-1.16,2.49,-2.64,21.52,50.41,-0.2,0.12,,6230.0,0.33,24.34,-0.08,2095.0,-,,7/5/2018
4277,4278,LTSL,Ladenburg Thalmann Financial Services Inc. 6.50% NT 27,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.85,2.54,8.31,-2.65,11.29,,0.2,0.59,0.53,0.87,0.84,2.6,-0.5,3.05,-3.48,20.88,56.64,-0.21,0.84,,3950.0,0.36,23.85,0.63,1418.0,-,,11/28/2017
4278,4279,LTXB,"LegacyTexas Financial Group, Inc.",Financial,Regional - Southwest Banks,USA,1980000000000.0,13.7,11.91,1.37,4.65,1.72,5.98,,2.46,,2.97,33.3,8.75,28.5,10.0,24.8,12.1,10.9,48570000.0,47730000.0,1.9,0.0,86.9,0.07,4.24,4.29,,,21.2,,,0.12,0.12,,,,2.31,10.24,8.88,28.75,4.92,26.86,1.55,0.94,1.91,2.35,5.44,4.14,3.73,-1.43,12.96,-13.71,34.87,64.99,-0.25,0.52,3.0,471430.0,2.46,40.71,0.27,1135179.0,Jul 23/a,42.07,10/3/2006
4279,4280,LUB,"Luby's, Inc.",Services,Restaurants,USA,35600000.0,,,,0.1,0.28,9.13,,,,-0.56,-28.8,,-52.8,7.0,-1.0,158.2,-9.0,32960000.0,18580000.0,17.7,0.0,34.0,-6.62,0.5,4.08,-8.5,-15.4,-17.6,0.9,0.8,0.35,0.35,66.8,-2.0,-5.0,-6.9,-18.8,-25.0,-5.26,-57.65,-10.0,1.03,0.06,5.05,4.83,-13.82,-19.63,-25.95,-29.87,-0.95,-60.87,9.15,29.4,-7.69,-1.68,,22850.0,1.95,1.08,-9.24,43577.0,Jul 22/b,5.0,7/1/1985
4280,4281,LULU,Lululemon Athletica Inc.,Consumer Goods,Textile - Apparel Clothing,Canada,23460000000000.0,46.64,32.77,2.5,6.86,17.23,40.72,61.07,,0.0,3.86,57.1,18.69,13.9,18.65,15.6,33.0,20.4,130199999.99999999,105210000.0,0.3,-93.06,89.7,1.48,3.69,1.73,24.0,36.5,33.3,2.3,1.4,0.0,0.0,55.3,21.4,14.8,-0.91,9.98,9.97,46.11,45.47,48.19,0.65,4.85,2.29,2.74,2.27,3.1,18.91,-5.41,12.02,-5.41,62.78,54.41,-0.44,0.49,2.1,2240000.0,1.26,180.21,0.06,3067023.0,Jun 12/a,191.96,7/27/2007
4281,4282,LUNA,Luna Innovations Incorporated,Technology,Scientific & Technical Instruments,USA,121320000.0,78.95,25.71,,2.66,1.97,4.93,,,,0.06,159.6,20.69,15.7,,18.5,657.3,21.3,26960000.0,26400000.0,4.6,0.0,30.2,2.8,0.08,0.24,,,1.3,3.3,2.7,0.0,0.01,46.5,,,0.45,7.66,7.91,38.89,50.0,34.33,0.7,0.15,3.92,3.36,8.19,4.58,22.34,-4.86,15.38,-4.86,67.9,61.84,4.41,0.0,2.0,84670.0,0.73,4.5,4.41,62108.0,Aug 07/a,4.92,6/5/2006
4282,4283,LUV,Southwest Airlines Co.,Services,Regional Airlines,USA,27560000000000.0,12.04,9.66,1.0,1.24,2.86,7.14,6.2,1.42,15.2,4.22,24.1,15.81,32.4,12.01,4.4,-11.0,4.1,542640000.0,541200000.0,0.3,0.0,85.1,3.03,2.11,3.16,9.0,24.0,18.9,0.6,0.6,0.27,0.32,72.6,14.0,10.8,-0.92,2.81,-2.18,8.5,0.81,9.25,1.49,1.02,1.49,1.95,0.39,-1.63,-4.67,-7.43,7.14,-20.68,14.68,45.76,-0.35,0.43,2.4,3600000.0,1.63,50.78,0.08,5965414.0,Jul 25/b,59.24,1/2/1980
4283,4284,LVHB,Innovator Lunt Low Vol/High Beta Tactical ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.95,3.23,4.64,19.17,16.59,18.32,,0.24,0.67,0.6,-0.38,1.72,8.31,-2.17,5.27,-2.17,23.99,50.91,0.13,0.37,,10480.0,1.2,35.02,0.51,12453.0,-,,10/21/2016
4284,4285,LVHD,Legg Mason Low Volatility High Dividend ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.86,4.15,1.1,12.48,7.95,12.13,,0.25,0.69,0.72,0.81,1.38,3.83,-1.22,5.44,-1.22,17.46,54.98,0.47,0.16,,65489.99999999999,1.09,32.16,0.63,70738.0,-,,1/4/2016
4285,4286,LVHE,Legg Mason Emerging Markets Low Volatility High Dividend ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.23,-0.99,-1.97,1.78,-0.96,0.29,,0.32,1.55,0.89,-1.74,-1.64,-2.43,-4.68,1.06,-9.29,2.51,39.46,-1.63,-0.62,,1180.0,0.53,25.8,-2.23,627.0,-,,11/21/2016
4286,4287,LVHI,Legg Mason International Low Volatility High Dividend ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26,2.89,1.57,9.12,2.2,8.94,,0.18,0.68,0.55,1.04,0.75,2.5,-1.64,3.64,-1.64,12.27,55.96,-0.56,0.92,,4790.0,0.44,26.29,0.35,2103.0,-,,7/28/2016
4287,4288,LVIN,Hartford Multifactor Low Volatility International Equity ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97,3.59,2.6,11.92,-2.9,11.12,,0.15,0.38,0.28,0.79,1.72,3.55,-1.31,4.22,-1.78,13.8,55.6,0.21,0.06,,320.0,0.92,27.22,0.27,300.0,-,,5/11/2017
4288,4289,LVL,Invesco S&P Global Dividend Opportunities Index ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.34,3.56,3.83,15.65,9.53,14.75,,0.09,0.52,0.56,0.42,1.74,6.68,-1.55,4.48,-1.55,19.64,54.65,0.04,0.3,,5360.0,0.5,11.78,0.34,2667.0,-,,6/25/2007
4289,4290,LVS,Las Vegas Sands Corp.,Services,Resorts & Casinos,USA,45430000000000.0,20.42,17.06,5.87,3.29,8.28,10.99,235.36,5.21,153.7,2.89,9.1,3.19,2.4,3.48,-0.1,-24.5,1.9,768750000.0,375320000.0,20.8,0.0,38.6,0.32,1.81,1.57,6.8,24.4,19.1,1.7,1.7,2.15,2.17,48.9,25.4,11.2,-0.24,6.39,-3.07,15.55,-22.18,13.53,1.55,1.45,1.71,2.56,3.16,-3.28,1.01,-15.1,12.5,-23.41,24.69,49.87,-0.07,0.6,2.3,4330000.0,0.91,59.09,0.53,3969226.0,Jul 24/a,70.5,12/15/2004
4290,4291,LVUS,Hartford Multifactor Low Volatility US Equity ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,3.28,13.76,5.28,,19.07,,0.21,0.2,0.3,2.01,3.98,9.3,-1.27,7.73,-1.27,30.77,62.48,0.23,0.33,,300.0,0.32,30.02,0.56,100.0,-,,5/11/2017
4291,4292,LW,"Lamb Weston Holdings, Inc.",Consumer Goods,Food - Major Diversified,USA,9290000000000.0,21.74,18.14,1.92,2.53,,540.03,,1.26,24.6,2.92,4.5,8.82,2.5,11.35,4.3,29.1,7.3,146600000.0,145270000.0,0.57,0.0,90.4,6.25,6.66,5.32,15.5,-227.2,18.8,1.6,0.7,,,26.8,17.8,12.4,4.14,5.51,-15.45,-14.06,-7.04,-13.87,,1.5,2.55,2.24,3.5,-1.83,-10.56,-10.32,7.7,-24.45,7.7,53.07,2.44,0.24,1.7,1820000.0,1.33,63.36,2.69,2422049.0,Jul 24/b,83.17,11/15/2016
4292,4293,LWAY,"Lifeway Foods, Inc.",Consumer Goods,Food - Major Diversified,USA,56710000.0,,,,0.57,1.35,,94.52,,,-0.23,-337.7,,-21.5,10.0,1.2,-663.2,-14.3,15580000.0,3020000.0,22.6,-0.17,11.2,-0.34,0.15,0.06,-5.9,-8.1,-6.0,2.1,1.4,0.11,0.0,24.3,-3.7,-3.6,-3.96,58.26,50.41,82.0,-34.41,93.62,1.18,0.39,11.03,14.7,28.06,44.21,43.52,-23.37,91.58,-34.53,101.1,64.13,0.55,0.84,,74010.0,0.53,3.64,1.39,38858.0,May 14/a,7.25,8/18/1995
4293,4294,LX,LexinFintech Holdings Ltd.,Financial,Credit Services,China,1930000000000.0,5.75,4.92,1.99,1.66,2.86,9.88,,,0.0,1.94,11.3,21.42,,2.9,,227.6,22.0,172680000.0,57920000.0,22.64,,47.8,15.09,1.43,0.65,18.5,68.5,17.9,1.4,1.4,0.04,0.89,43.9,26.9,30.2,-5.1,-3.63,6.29,44.37,-13.49,53.93,,0.52,4.42,4.42,-1.46,-9.53,5.33,-23.67,5.28,-23.87,72.22,44.63,-3.54,-0.52,2.0,1290000.0,0.64,11.16,-4.04,836035.0,May 17/b,17.28,12/21/2017
4294,4295,LXFR,Luxfer Holdings PLC,Industrial Goods,Diversified Machinery,United Kingdom,656400000.0,56.63,12.42,5.04,1.34,3.69,,38.16,2.04,108.2,0.43,91.5,10.64,-18.0,11.23,0.3,-142.7,0.6,26770000.0,24920000.0,1.4,-7.15,92.5,-2.58,1.26,1.51,3.0,6.6,11.2,1.9,1.0,0.47,0.52,24.9,4.3,2.5,3.07,-1.09,-1.84,41.41,42.48,39.08,1.01,0.77,2.67,3.44,6.53,1.8,9.57,-6.59,15.77,-12.62,49.6,58.68,1.16,0.46,2.5,207520.0,24.79,24.52,1.62,3804481.0,Jul 31/a,30.0,10/3/2012
4295,4296,LXP,Lexington Realty Trust,Financial,REIT - Diversified,USA,2180000000000.0002,8.74,91.36,1.75,5.84,1.77,12.83,,4.36,,1.08,180.1,-48.5,47.6,5.0,1.8,266.8,-21.0,232130000.0,228980000.0,2.4,-0.36,90.2,12.1,1.98,2.73,,,1.9,,,1.2,1.2,88.8,,,-3.19,3.52,3.86,13.24,7.42,14.62,0.93,0.19,2.19,2.13,-0.22,2.0,6.78,-4.76,7.18,-4.76,22.85,51.1,0.97,0.22,2.4,1660000.0,2.85,9.41,1.18,4554367.0,Aug 07/b,10.18,10/22/1993
4296,4297,LXRX,"Lexicon Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,667080000.0,,,,14.13,,5.01,,,,-0.95,5.6,-115.4,4.3,,95.3,48.1,-63.8,106050000.0,105850000.0,0.3,0.0,99.5,-1.6,7.81,17.55,-33.8,376.4,-47.2,5.2,5.0,,,95.5,,,5.89,11.13,13.13,-2.33,-51.09,-5.27,0.8,0.29,4.99,5.26,9.46,5.23,-10.67,-13.48,23.33,-52.74,48.0,59.76,3.28,-0.16,2.2,471310.0,1.04,6.29,3.11,493651.0,Jul 31/b,20.0,4/7/2000
4297,4298,LXU,"LSB Industries, Inc.",Basic Materials,Chemicals - Major Diversified,USA,103900000.0,,,,0.28,0.34,4.79,,,,-3.93,-22.0,,-29.2,12.0,-11.6,-40.1,-6.3,26640000.0,24940000.0,5.7,0.0,73.2,-0.83,3.67,8.45,-9.5,-30.9,-4.0,1.3,1.0,1.29,1.35,3.5,-8.3,-29.2,13.7,3.45,-37.5,-33.45,-24.56,-29.35,4.23,0.26,8.56,7.22,12.38,-14.71,-41.91,-41.88,25.0,-61.0,25.0,50.53,8.03,0.0,,108310.0,2.03,3.9,8.03,215050.0,Jul 30/a,14.0,1/2/1980
4298,4299,LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,Netherlands,32090000000000.004,7.76,7.27,1.85,0.84,3.16,42.11,24.38,4.88,36.1,11.09,18.2,13.09,12.3,4.19,-2.4,-29.7,-10.1,372520000.0,293080000.0,0.2,0.0,72.6,-3.2,2.14,2.21,15.0,40.7,23.5,1.5,0.8,0.74,0.98,15.9,12.5,11.2,-0.38,11.26,2.44,3.24,-21.01,3.57,1.28,1.7,1.16,2.03,2.6,2.52,-3.14,-7.67,16.49,-26.15,16.49,55.85,-0.7,0.12,2.3,2840000.0,2.48,86.13,-0.59,6872855.0,Aug 02/b,102.84,4/28/2010
4299,4300,LYFT,"Lyft, Inc.",Technology,Application Software,USA,18970000000000.0,,,,7.48,,18.33,,,,-6.35,-32.4,62.7,,,,-385.8,95.4,288660000.0,188620000.0,1.9,,33.1,147.24,10.43,2.27,,,34.1,0.8,0.8,,,24.6,-74.5,-71.6,2.26,19.84,-16.07,,,-16.07,,2.5,2.94,4.44,6.82,11.89,8.94,0.54,39.3,-25.84,39.3,61.12,0.78,-0.11,2.3,8660000.0,0.73,65.71,0.67,6317350.0,Aug 06/a,71.41,3/29/2019
4300,4301,LYG,Lloyds Banking Group plc,Financial,Foreign Money Center Banks,United Kingdom,50970000000000.0,10.18,8.87,,2.46,0.88,,,5.99,,0.28,26.6,-11.11,46.1,-10.6,-5.0,2.5,0.9,17950000000000.0,17610000000000.0,81.3,0.0,2.0,0.16,0.02,0.63,,,6.9,,,,,,,,-2.74,0.0,-11.53,13.6,-12.35,10.94,1.05,0.05,1.06,1.29,-1.46,-6.73,-5.61,-17.92,0.71,-18.04,16.87,38.21,-0.35,-1.04,,5180000.0,1.12,2.84,-1.39,5785220.0,Aug 01/b,2.64,11/28/2001
4301,4302,LYL,Dragon Victory International Limited,Financial,Credit Services,China,11100000.0,22.0,,,2.36,0.96,1.29,,,,0.05,-88.5,,,,,62.3,91.7,11210000.0,4179999.9999999995,73.98,,0.1,-69.04,0.25,0.29,,,-2.2,5.3,5.3,0.0,0.0,,,,-2.94,-13.16,-29.79,-34.44,-73.63,-23.85,,0.13,12.03,13.23,-0.09,-17.95,-37.17,-43.43,16.47,-71.3,16.47,41.9,6.45,-4.63,,35670.0,0.13,0.99,1.52,4898.0,-,,12/29/2014
4302,4303,LYTS,LSI Industries Inc.,Industrial Goods,Industrial Electrical Equipment,USA,92310000.0,,7.85,,0.28,0.79,54.3,76.92,5.48,,-0.73,-568.9,93.75,-11.49,25.0,4.0,,-7.6,25290000.0,23460000.0,2.7,1.9,63.9,-4.29,0.48,1.36,-8.8,-15.1,-6.7,2.6,1.4,0.36,0.36,23.4,-6.6,-6.0,0.83,2.53,38.78,13.71,-31.52,15.14,1.44,0.14,6.77,3.47,0.84,3.73,-0.88,-3.18,20.46,-35.85,47.18,54.56,1.96,0.56,1.5,83840.0,1.39,3.65,2.53,119176.0,Jul 25/b,5.88,3/26/1990
4303,4304,LYV,"Live Nation Entertainment, Inc.",Services,Entertainment - Diversified,USA,14160000000000.0,,103.03,,1.28,13.28,5.3,36.95,,,-0.19,88.6,99.69,17.8,,10.7,-27.4,16.6,213800000.0,139200000.0,1.5,-5.19,72.8,2.39,7.32,9.01,-0.4,-2.8,5.9,0.9,0.9,2.6,2.68,25.8,2.3,-0.3,-0.66,7.51,4.27,35.7,41.02,34.52,1.14,1.22,1.83,1.75,3.28,3.17,15.06,-1.82,11.25,-1.82,43.96,59.7,1.92,-2.88,1.9,1130000.0,2.88,66.25,-1.02,3156028.0,Aug 01/a,68.7,12/21/2005
4304,4305,LZB,La-Z-Boy Incorporated,Consumer Goods,Home Furnishings & Fixtures,USA,1440000000000.0,21.16,12.6,2.71,0.83,2.11,9.54,18.31,1.7,34.2,1.45,-19.1,9.1,5.9,7.8,5.2,-94.9,8.0,47070000.0,44890000.0,1.7,-25.07,92.9,-0.69,4.9,5.23,6.7,10.6,10.5,2.3,1.4,0.0,0.0,40.3,5.6,3.9,-1.03,-4.28,-7.06,11.73,1.19,10.65,0.81,1.14,2.14,3.84,-0.99,-5.26,-0.73,-13.1,10.33,-21.69,21.19,46.5,-0.58,0.06,3.0,420230.0,1.44,30.66,-0.52,598849.0,Jun 18/a,34.0,1/5/1988
4305,4306,M,"Macy's, Inc.",Services,Department Stores,USA,6650000000000.0,6.16,7.28,,0.26,1.05,9.02,36.34,7.04,42.2,3.49,9.5,-4.78,-1.9,-9.66,-1.6,-2.8,-0.4,309880000.0,308410000.0,0.1,1.0,92.3,-3.17,13.5,4.48,5.6,18.1,11.4,1.4,0.3,0.74,0.75,40.8,6.2,4.3,-3.77,3.42,-10.69,-28.56,-43.35,-27.94,0.55,0.67,2.74,3.22,-0.17,-3.55,-22.26,-16.69,7.19,-48.89,7.19,45.94,-0.42,0.09,3.1,9290000.0,1.08,21.46,-0.33,10029922.0,May 15/b,23.62,2/5/1992
4306,4307,MA,Mastercard Incorporated,Financial,Credit Services,USA,263680000000000.0,44.72,29.36,2.42,17.28,52.49,36.75,52.23,0.5,17.9,5.92,26.2,18.13,16.6,18.44,12.5,27.8,8.6,996770000.0,883800000.0,0.1,-31.46,77.9,-0.5,0.71,1.75,26.5,115.4,50.0,1.4,1.4,1.12,1.22,,50.3,40.8,0.02,4.07,12.35,40.19,36.93,40.22,1.07,4.86,1.42,1.97,1.85,4.57,19.68,-1.97,10.71,-1.97,53.89,58.21,0.55,0.76,1.7,3600000.0,1.22,264.53,1.31,4400979.0,Jul 30/b,281.67,5/25/2006
4307,4308,MAA,"Mid-America Apartment Communities, Inc.",Financial,REIT - Residential,USA,13390000000000.0,57.33,51.33,8.19,8.44,2.19,300.28,,3.26,181.4,2.05,-32.5,7.05,24.9,7.0,19.8,30.5,3.9,113730000.0,113240000.0,0.5,-2.43,95.2,0.2,1.25,3.06,2.1,3.8,3.7,,,0.75,0.75,59.1,25.4,14.7,-1.12,3.9,7.71,23.33,17.89,23.05,0.38,1.94,2.03,1.61,0.45,4.02,12.57,-2.18,13.72,-2.18,29.11,56.53,1.46,-0.21,2.4,463750.0,1.84,117.76,1.24,837770.0,Jul 31/a,117.07,1/28/1994
4308,4309,MAC,Macerich Company,Financial,REIT - Retail,USA,4720000000000.0,47.17,70.51,224.61,4.97,1.66,42.55,,8.96,419.6,0.71,-62.9,17.28,-14.8,0.21,-1.4,122.3,-4.3,141030000.0,140490000.0,0.4,14.86,,2.62,13.51,13.41,1.1,3.4,0.3,,,1.88,1.88,59.6,4.8,10.6,-0.83,-9.34,-22.75,-22.49,-41.02,-22.62,0.74,1.05,2.83,2.82,-3.99,-12.87,-25.89,-21.74,4.53,-45.05,4.53,36.22,0.3,-0.15,2.9,1410000.0,1.75,33.49,0.15,2450199.0,Aug 01/b,45.82,3/10/1994
4309,4310,MACK,"Merrimack Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,78890000.0,,,,,1.65,1.35,,,,-4.0,-9.5,,19.2,5.6,,41.2,,13040000.0,12800000.0,4.09,53.95,49.6,-9.44,2.11,4.34,-38.2,-56.0,,5.4,5.4,0.28,0.31,,,,6.7,-3.04,-12.95,56.74,13.72,56.74,2.21,0.23,4.35,3.65,5.05,1.55,11.65,-10.24,10.0,-19.33,81.13,59.08,2.37,0.0,3.5,62180.0,0.99,6.05,2.37,60979.0,Aug 09/b,4.0,3/29/2012
4310,4311,MAG,MAG Silver Corp.,Basic Materials,Silver,USA,916870000.0,,30.37,,,4.22,,,,,-0.08,15.2,50.0,32.6,,,-343.9,,86990000.0,74810000.0,21.8,0.0,43.4,3.08,4.09,11.78,-2.9,-3.0,,91.3,91.3,0.0,0.0,,,,-8.19,10.48,-1.13,44.19,-2.23,44.38,0.51,0.45,3.73,4.37,-3.62,5.17,20.34,-11.8,18.56,-11.8,72.22,48.42,-0.94,-0.19,2.0,259800.0,0.63,10.54,-1.13,165808.0,Aug 09/b,18.04,3/14/2007
4311,4312,MAGA,Point Bridge GOP Stock Tracker ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,6.42,2.73,18.28,-0.12,17.53,,0.19,0.38,0.29,2.54,2.0,3.55,-1.3,7.72,-5.53,24.82,62.13,0.8,-0.01,,1100.0,0.38,27.37,0.79,426.0,-,,9/14/2017
4312,4313,MAGS,Magal Security Systems Ltd.,Services,Security & Protection Services,Israel,111110000.0,39.92,,,1.2,1.43,2.14,,,0.0,0.13,144.5,,19.7,,12.4,-115.0,13.5,22090000.0,13280000.0,47.9,0.0,61.1,0.56,0.14,1.39,2.6,3.6,2.1,2.9,2.5,0.0,0.0,43.5,4.1,3.2,7.94,1.0,-3.82,16.71,-5.45,13.03,1.18,0.19,2.63,3.71,7.3,1.9,-1.97,-6.16,17.8,-14.89,29.64,59.74,1.0,3.75,,13330.0,3.96,5.03,4.79,52429.0,May 21/b,,3/23/1993
4313,4314,MAIN,Main Street Capital Corporation,Financial,Diversified Investments,USA,2560000000000.0,14.87,15.66,2.12,10.72,1.67,53.99,,5.98,80.5,2.77,-5.6,2.74,1.1,7.0,14.9,14.1,9.8,62230000.0,59060000.0,5.2,0.0,23.2,-1.59,3.93,10.81,6.9,11.8,6.1,,,0.66,0.66,81.1,66.7,73.3,0.1,2.8,11.2,20.01,9.58,22.35,0.87,0.45,1.06,1.1,0.7,2.65,8.63,-1.81,8.52,-1.81,29.48,56.11,0.34,0.44,2.6,214460.0,0.77,41.12,0.78,165269.0,Aug 08/a,39.9,10/9/2007
4314,4315,MAMS,"MAM Software Group, Inc.",Technology,Business Software & Services,USA,131240000.00000001,31.82,32.74,,3.52,7.46,25.73,27.92,,0.0,0.32,-12.9,6.9,7.6,,5.4,-26.9,4.4,12930000.0,9880000.0,20.3,0.0,40.2,-5.42,0.03,0.16,11.9,25.0,22.2,1.1,1.1,0.18,0.31,55.1,13.6,10.1,4.53,13.52,19.41,28.28,15.21,28.48,0.36,0.46,4.72,4.98,7.97,12.41,22.22,-3.88,22.27,-3.88,55.43,65.48,-5.58,3.37,,17800.0,0.96,10.15,-2.4,17441.0,Aug 08/a,9.0,6/26/1997
4315,4316,MAN,ManpowerGroup Inc.,Services,Staffing & Outsourcing Services,USA,5850000000000.0,12.06,11.41,3.89,0.27,2.27,10.34,11.26,2.26,25.0,8.01,30.9,7.59,18.6,3.1,1.7,-38.2,-8.6,60600000.0,59370000.0,0.2,-14.12,95.8,0.02,3.37,3.49,5.9,19.2,16.1,1.4,1.4,0.39,0.41,16.3,3.5,2.4,3.47,8.69,16.82,49.01,12.18,49.07,1.56,1.82,1.21,1.99,5.47,4.5,17.49,-0.68,13.78,-0.68,56.89,62.6,0.92,0.47,2.6,572860.0,1.63,96.6,1.4,923298.0,Jul 19/b,98.8,10/5/1988
4316,4317,MANH,"Manhattan Associates, Inc.",Technology,Application Software,USA,4500000000000.0,44.19,45.73,2.95,7.8,30.95,42.9,38.96,,0.0,1.57,-9.9,5.28,12.8,15.0,6.2,-2.5,13.6,64910000.0,63670000.0,1.5,-1.05,,1.49,12.08,16.39,33.0,73.4,69.6,1.4,1.4,0.0,0.0,56.6,23.3,17.9,0.29,5.41,25.8,65.07,48.65,63.63,1.44,1.66,2.13,2.45,2.96,4.83,27.23,-2.09,23.28,-2.09,77.72,58.19,1.72,0.62,2.5,469060.0,1.59,69.33,2.35,747617.0,Jul 23/a,73.0,4/23/1998
4317,4318,MANT,ManTech International Corporation,Technology,Security Software & Services,USA,2600000000000.0,31.63,25.8,3.21,1.31,1.85,21.55,29.68,1.64,36.7,2.08,26.9,11.78,70.5,9.86,-3.2,4.5,6.1,39440000.0,26530000.0,0.6,-7.67,98.3,-0.52,1.58,3.19,4.5,6.0,6.0,2.0,,0.07,0.07,14.2,5.8,4.2,2.38,6.61,21.9,26.71,23.15,25.92,0.95,1.2,2.02,1.85,3.61,5.97,14.14,0.32,19.86,-3.32,36.48,65.55,1.29,-0.17,2.6,131840.0,2.79,65.85,1.12,357274.0,Jul 31/a,63.33,2/7/2002
